id,name
1,A MD1
2,A MD2
3,A MD2 Special 1
4,A MD2 Special 2
5,A Non MD
6,B MD1
7,B MD2
8,B Non MD
9,C MD1
10,C MD2
11,C Non MD
12,D MD1
13,D(A1S) Non MD
14,D(A1T) Non MD
15,D(A2) MD1
16,D(A3) MD2
17,D(C1S) Non MD
18,D(C1T) Non MD
19,D(C2) MD1
20,D(C3) MD2
21,D(D1S) Non MD
22,D(D1T) Non MD
23,D(D2) MD1
24,D(D3) MD2
25,D(R1)
26,D(R2S) Non MD
27,D(R2T) Non MD
28,D(R3) MD1
29,D(R4) MD2
30,E(A1S) Non MD
31,E(A1T) Non MD
32,E(A2) MD1
33,E(A3) MD2
34,E(C1S) Non MD
35,E(C1T) Non MD
36,E(C2) MD1
37,E(C3) MD2
38,E(D1S) Non MD
39,E(D1T) Non MD
40,E(D2) MD1
41,E(D3) MD2
42,E(R1)
43,E(R2S) Non MD
44,E(R2T) Non MD
45,E(R3) MD1
46,E(R4) MD2
47,E(S1) MD1
